Index,Survey ID,Eater Type,"Motivation
Animal Protection","Motivation
Concern for the Environment","Motivation
Cost","Motivation
Health","Motivation
Religious or Spiritual Beliefs","Motivation
Social influence (from friends, family, significant other, etc.)","Motivation
Social justice or world hunger","Motivation
Taste preferences","Motivation
Wanting to follow a food trend","Motivation
Feelings of disgust about meat",Age Transitioned to Veg'nism,Gender,State,Education,Political,Race/Ethnicity,Religion
315,2707,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,26,Female,Kentucky,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
316,2712,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,22,Female,Mississippi,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
317,2727,Omnivore,,,,,,,,,,,,Male,Texas,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
318,2762,Omnivore,,,,,,,,,,,,Female,Utah,Graduate or professional degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Hindu
319,2764,Vegetarian,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,32,Female,Puerto Rico,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
320,2770,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
321,2780,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
322,2791,Omnivore,,,,,,,,,,,,Female,Connecticut,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
323,2793,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
324,2803,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
325,2806,Omnivore,,,,,,,,,,,,Female,California,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
326,2817,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelor’s degree,Moderately Liberal,White,Jewish
327,2819,Omnivore,,,,,,,,,,,,Male,Hawaii,"Some education after high school, no degree",Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
328,2823,Omnivore,,,,,,,,,,,,Female,Connecticut,Bachelor’s degree,Strongly Conservative,White,Do not actively practice a religion
329,2829,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Moderately Conservative,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
330,2849,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
331,2850,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,23,Male,Mississippi,Bachelor’s degree,Strongly Liberal,White,Buddhist
332,2862,Omnivore,,,,,,,,,,,,Female,Iowa,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
333,2885,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Other religion (including two or more)
335,2914,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
336,2916,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
337,2928,Omnivore,,,,,,,,,,,,Female,Michigan,High school diploma (or equivalent),Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
338,2935,Omnivore,,,,,,,,,,,,Male,West Virginia,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
339,2949,Vegetarian,Very Strong,Strong,Somewhat,Very Strong,Not at All,Mild,Very Strong,Strong,Mild,Very Strong,22,Female,Indiana,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
340,2961,Omnivore,,,,,,,,,,,,Female,Tennessee,Graduate or professional degree,Strongly Conservative,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
341,2966,Omnivore,,,,,,,,,,,,Female,Tennessee,High school diploma (or equivalent),Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
342,2971,Omnivore,,,,,,,,,,,,Female,Hawaii,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
343,2977,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
344,2980,Omnivore,,,,,,,,,,,,Female,Arizona,"Some education after high school, no degree",Strongly Conservative,White,Do not actively practice a religion
345,3000,Omnivore,,,,,,,,,,,,Female,North Dakota,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
346,3001,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
347,3006,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelor’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
348,3013,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Moderately Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
349,3014,Omnivore,,,,,,,,,,,,Female,Hawaii,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
350,3035,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,16,Male,Wyoming,"Some education after high school, no degree",Neutral/Centrist,White,Buddhist
351,3042,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
353,3051,Omnivore,,,,,,,,,,,,Female,Maryland,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
354,3065,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,16,Female,Tennessee,"Some education after high school, no degree",Neutral/Centrist,White,Muslim
355,3114,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Conservative,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
356,3142,Vegan,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,30,Female,Montana,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
357,3143,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,18,Female,California,Bachelor’s degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
359,3175,Omnivore,,,,,,,,,,,,Female,North Dakota,Graduate or professional degree,Strongly Liberal,White,Jewish
360,3178,Omnivore,,,,,,,,,,,,Female,Idaho,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
361,3183,Omnivore,,,,,,,,,,,,Male,New Hampshire,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
362,3214,Vegan,Very Strong,Strong,Somewhat,Very Strong,Not at All,Mild,Very Strong,Strong,Mild,Very Strong,34,Male,North Carolina,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
363,3222,Omnivore,,,,,,,,,,,,Male,Tennessee,Bachelor’s degree,Neutral/Centrist,Other race/ethnicity (including two or more),Other religion (including two or more)
364,3226,Omnivore,,,,,,,,,,,,Female,Georgia,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
365,3238,Omnivore,,,,,,,,,,,,Male,Kentucky,Associate’s degree,Neutral/Centrist,White,Other religion (including two or more)
366,3247,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelor’s degree,Strongly Liberal,White,Jewish
367,3249,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,26,Female,Louisiana,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
368,3278,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
369,3291,Omnivore,,,,,,,,,,,,Female,Colorado,"Some education after high school, no degree",Strongly Liberal,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
370,3293,Omnivore,,,,,,,,,,,,Female,Minnesota,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
371,3307,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
372,3309,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Liberal,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
373,3323,Omnivore,,,,,,,,,,,,Female,Washington,"Some education after high school, no degree",Strongly Liberal,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
374,3326,Omnivore,,,,,,,,,,,,Female,South Carolina,Bachelor’s degree,Moderately Liberal,White,Buddhist
375,3367,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
376,3370,Vegan,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,20,Male,North Carolina,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
377,3416,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
378,3443,Omnivore,,,,,,,,,,,,Male,Georgia,Bachelor’s degree,Strongly Liberal,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
379,3449,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Bachelor’s degree,Strongly Liberal,Native American or Alaska Native,Do not actively practice a religion
381,3462,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Neutral/Centrist,White,Other religion (including two or more)
383,3465,Omnivore,,,,,,,,,,,,Female,Pennsylvania,"Some education after high school, no degree",Moderately Conservative,White,Do not actively practice a religion
384,3471,Omnivore,,,,,,,,,,,,Female,Wyoming,High school diploma (or equivalent),Strongly Conservative,African American or Black,"Christian (Catholic, Protestant, etc.)"
385,3483,Omnivore,,,,,,,,,,,,Male,Texas,Graduate or professional degree,Strongly Liberal,White,Jewish
386,3499,Omnivore,,,,,,,,,,,,Male,Nevada,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
387,3504,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,52,Female,Maryland,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
388,3524,Omnivore,,,,,,,,,,,,Female,Connecticut,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
389,3535,Omnivore,,,,,,,,,,,,Female,Massachusetts,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
391,3539,Omnivore,,,,,,,,,,,,Male,Massachusetts,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
392,3562,Omnivore,,,,,,,,,,,,Female,Tennessee,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
393,3563,Omnivore,,,,,,,,,,,,Female,Georgia,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
395,3596,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
397,3623,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
398,3630,Omnivore,,,,,,,,,,,,Female,North Carolina,High school diploma (or equivalent),Neutral/Centrist,White,Jewish
399,3650,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
400,3659,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
401,3660,Omnivore,,,,,,,,,,,,Male,Nevada,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
402,3688,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
403,3693,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
404,3710,Omnivore,,,,,,,,,,,,Female,Missouri,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
405,3733,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
406,3737,Omnivore,,,,,,,,,,,,Male,Washington,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
407,3763,Omnivore,,,,,,,,,,,,Female,Kentucky,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
409,3778,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Moderately Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
410,3810,Omnivore,,,,,,,,,,,,Male,West Virginia,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
411,3812,Omnivore,,,,,,,,,,,,Male,South Dakota,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
412,3826,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,13,Female,Minnesota,High school diploma (or equivalent),Moderately Liberal,White,Do not actively practice a religion
413,3827,Omnivore,,,,,,,,,,,,Female,Michigan,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
414,3846,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
415,3850,Omnivore,,,,,,,,,,,,Male,Oklahoma,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
416,3851,Omnivore,,,,,,,,,,,,Female,Iowa,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
417,3852,Omnivore,,,,,,,,,,,,Female,Iowa,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
418,3855,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Strongly Conservative,Indian,"Christian (Catholic, Protestant, etc.)"
419,3868,Omnivore,,,,,,,,,,,,Female,Hawaii,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
420,3869,Omnivore,,,,,,,,,,,,Female,North Carolina,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
421,3884,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
422,3893,Vegan,Very Strong,Somewhat,Not at All,Not at All,Strong,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,27,Female,North Carolina,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
423,3897,Omnivore,,,,,,,,,,,,Female,Tennessee,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
424,3898,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
425,3909,Vegan,Strong,Somewhat,Not at All,Mild,Not at All,Somewhat,Not at All,Not at All,Not at All,Strong,28,Male,Oklahoma,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
426,3915,Omnivore,,,,,,,,,,,,Male,Texas,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
428,3925,Omnivore,,,,,,,,,,,,Female,Texas,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
430,3942,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
431,3954,Omnivore,,,,,,,,,,,,Female,Michigan,"Some education after high school, no degree",Moderately Liberal,White,Jewish
432,3960,Omnivore,,,,,,,,,,,,Female,New Mexico,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
433,3964,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
434,3984,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
435,3978,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
436,3981,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
437,3995,Omnivore,,,,,,,,,,,,Male,Wyoming,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
438,3999,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
439,4004,Omnivore,,,,,,,,,,,,Female,Michigan,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
440,4014,Omnivore,,,,,,,,,,,,Female,Tennessee,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
441,4018,Vegan,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,49,Female,North Carolina,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
442,4026,Omnivore,,,,,,,,,,,,Female,New Mexico,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
443,4066,Omnivore,,,,,,,,,,,,Male,North Dakota,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
444,4070,Omnivore,,,,,,,,,,,,Female,Colorado,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
445,4073,Omnivore,,,,,,,,,,,,Male,Wyoming,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
446,4074,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
447,4078,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
448,4086,Omnivore,,,,,,,,,,,,Male,North Carolina,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
449,4088,Omnivore,,,,,,,,,,,,Female,Connecticut,Associate’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
450,4090,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelor’s degree,Neutral/Centrist,African American or Black,Do not actively practice a religion
451,4093,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
452,4096,Omnivore,,,,,,,,,,,,Male,Louisiana,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
453,4107,Omnivore,,,,,,,,,,,,Male,Alabama,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
454,4113,Vegan,Very Strong,Very Strong,Very Strong,Very Strong,Not at All,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,25,Female,South Carolina,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
455,4117,Omnivore,,,,,,,,,,,,Female,Texas,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
456,4130,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
457,4133,Omnivore,,,,,,,,,,,,Male,West Virginia,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
458,4140,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
459,4141,Omnivore,,,,,,,,,,,,Female,Washington,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
460,4160,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
461,4164,Omnivore,,,,,,,,,,,,Female,Hawaii,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
462,4191,Omnivore,,,,,,,,,,,,Male,Maryland,"Less than 12th grade, no diploma",Strongly Liberal,White,Do not actively practice a religion
463,4192,Omnivore,,,,,,,,,,,,Female,Utah,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
464,4209,Omnivore,,,,,,,,,,,,Male,Wyoming,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
465,4210,Vegetarian,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,27,Male,North Dakota,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
466,4214,Omnivore,,,,,,,,,,,,Male,Indiana,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
467,4247,Omnivore,,,,,,,,,,,,Female,Massachusetts,High school diploma (or equivalent),Moderately Conservative,White,Do not actively practice a religion
468,4257,Vegan,Very Strong,Somewhat,Not at All,Not at All,Strong,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,23,Female,Utah,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
469,4269,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,11,Female,Kentucky,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
470,4276,Omnivore,,,,,,,,,,,,Female,Georgia,"Some education after high school, no degree",Strongly Liberal,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
471,4282,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,16,Female,North Carolina,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
472,4292,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,27,Female,New Mexico,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Buddhist
473,4301,Omnivore,,,,,,,,,,,,Female,Hawaii,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
474,4306,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
475,4308,Omnivore,,,,,,,,,,,,Male,Michigan,"Some education after high school, no degree",Neutral/Centrist,African American or Black,Other religion (including two or more)
476,4319,Omnivore,,,,,,,,,,,,Female,Wisconsin,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
477,4321,Omnivore,,,,,,,,,,,,Female,Puerto Rico,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
478,4322,Omnivore,,,,,,,,,,,,Female,Georgia,"Less than 12th grade, no diploma",Strongly Liberal,White,Do not actively practice a religion
479,4341,Omnivore,,,,,,,,,,,,Female,Indiana,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
480,4348,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
481,4355,Omnivore,,,,,,,,,,,,Female,Kansas,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
482,4357,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,47,Male,North Carolina,Graduate or professional degree,Moderately Conservative,White,Jewish
483,4371,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
484,4379,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
485,4387,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
486,4389,Vegan,Strong,Somewhat,Not at All,Mild,Mild,Somewhat,Not at All,Not at All,Not at All,Strong,30,Male,Maine,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
487,4402,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
488,4409,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
489,4416,Omnivore,,,,,,,,,,,,Female,Connecticut,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
490,4425,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,22,Female,Arizona,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
491,4435,Omnivore,,,,,,,,,,,,Female,Texas,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
492,4450,Omnivore,,,,,,,,,,,,Female,Montana,"Some education after high school, no degree",Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
493,4454,Omnivore,,,,,,,,,,,,Male,California,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
494,4457,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
495,4467,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Moderately Conservative,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
496,4472,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
497,4484,Omnivore,,,,,,,,,,,,Male,Arizona,Graduate or professional degree,Strongly Liberal,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
498,4494,Omnivore,,,,,,,,,,,,Male,Colorado,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
499,4512,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
500,4520,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,21,Female,California,"Less than 12th grade, no diploma",Neutral/Centrist,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
501,4524,Omnivore,,,,,,,,,,,,Female,Illinois,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
503,4565,Vegan,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,38,Female,Arizona,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
504,4569,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Neutral/Centrist,Indian,Hindu
505,4574,Omnivore,,,,,,,,,,,,Male,Texas,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
506,4575,Omnivore,,,,,,,,,,,,Male,Massachusetts,Graduate or professional degree,Neutral/Centrist,African American or Black,Do not actively practice a religion
507,4576,Omnivore,,,,,,,,,,,,Female,Arizona,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
508,4582,Omnivore,,,,,,,,,,,,Female,Illinois,Associate’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
