Survey_ID,Eater_Type,Motivation_Animal_Protection,Motivation_Concern_for_Environment,Motivation_Cost,Motivation_Health,Motivation_Religious_Spiritual_Beliefs,Motivation_Social_Influence ,Motivation_Social_Justice_or_World_Hunger,Motivation_Taste_Preferences,Motivation_Following_Food_Trend,Motivation_Feelings_of_Disgust_about_Meat,Age_Transitioned_to_Vegnism,Gender,State,Education,Political,Race_Ethnicity,Religion
2770,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
2780,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelors degree,Moderately Conservative,White,Do not actively practice a religion
2791,Omnivore,,,,,,,,,,,,Female,Connecticut,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
2793,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
2803,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
2806,Omnivore,,,,,,,,,,,,Female,California,High school diploma (or equivalent),Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
2817,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelors degree,Moderately Liberal,White,Jewish
2819,Omnivore,,,,,,,,,,,,Male,Hawaii,Some education after high school -  no degree,Neutral/Centrist,African American or Black,Christian (Catholic -  Protestant -  etc.)
2823,Omnivore,,,,,,,,,,,,Female,Connecticut,Bachelors degree,Strongly Conservative,White,Do not actively practice a religion
2829,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelors degree,Moderately Conservative,Other race/ethnicity (including two or more),Christian (Catholic -  Protestant -  etc.)
2849,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
2850,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,23,Male,Mississippi,Bachelors degree,Strongly Liberal,White,Buddhist
2862,Omnivore,,,,,,,,,,,,Female,Iowa,Graduate or professional degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
2885,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Other religion (including two or more)
2914,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Some education after high school -  no degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
2916,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
2928,Omnivore,,,,,,,,,,,,Female,Michigan,High school diploma (or equivalent),Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
2935,Omnivore,,,,,,,,,,,,Male,West Virginia,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
2949,Vegetarian,Very Strong,Strong,Somewhat,Very Strong,Not at All,Mild,Very Strong,Strong,Mild,Very Strong,22,Female,Indiana,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
2961,Omnivore,,,,,,,,,,,,Female,Tennessee,Graduate or professional degree,Strongly Conservative,Hispanic -  Latino -  or Spanish origin,Christian (Catholic -  Protestant -  etc.)
2966,Omnivore,,,,,,,,,,,,Female,Tennessee,High school diploma (or equivalent),Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
2971,Omnivore,,,,,,,,,,,,Female,Hawaii,High school diploma (or equivalent),Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
2977,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
2980,Omnivore,,,,,,,,,,,,Female,Arizona,Some education after high school -  no degree,Strongly Conservative,White,Do not actively practice a religion
3000,Omnivore,,,,,,,,,,,,Female,North Dakota,Graduate or professional degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
3001,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3006,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelors degree,Neutral/Centrist,African American or Black,Christian (Catholic -  Protestant -  etc.)
3013,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Moderately Liberal,African American or Black,Christian (Catholic -  Protestant -  etc.)
3014,Omnivore,,,,,,,,,,,,Female,Hawaii,Some education after high school -  no degree,Strongly Liberal,White,Do not actively practice a religion
3035,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,16,Male,Wyoming,Some education after high school -  no degree,Neutral/Centrist,White,Buddhist
3042,Omnivore,,,,,,,,,,,,Female,Georgia,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3051,Omnivore,,,,,,,,,,,,Female,Maryland,Bachelors degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
3065,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,16,Female,Tennessee,Some education after high school -  no degree,Neutral/Centrist,White,Muslim
3114,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Moderately Conservative,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
3142,Vegan,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,30,Female,Montana,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
3143,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,18,Female,California,Bachelors degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
3175,Omnivore,,,,,,,,,,,,Female,North Dakota,Graduate or professional degree,Strongly Liberal,White,Jewish
3178,Omnivore,,,,,,,,,,,,Female,Idaho,Graduate or professional degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
3183,Omnivore,,,,,,,,,,,,Male,New Hampshire,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3214,Vegan,Very Strong,Strong,Somewhat,Very Strong,Not at All,Mild,Very Strong,Strong,Mild,Very Strong,34,Male,North Carolina,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3222,Omnivore,,,,,,,,,,,,Male,Tennessee,Bachelors degree,Neutral/Centrist,Other race/ethnicity (including two or more),Other religion (including two or more)
3226,Omnivore,,,,,,,,,,,,Female,Georgia,Some education after high school -  no degree,Moderately Liberal,White,Do not actively practice a religion
3238,Omnivore,,,,,,,,,,,,Male,Kentucky,Associates degree,Neutral/Centrist,White,Other religion (including two or more)
3247,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelors degree,Strongly Liberal,White,Jewish
3249,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,26,Female,Louisiana,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3278,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
3291,Omnivore,,,,,,,,,,,,Female,Colorado,Some education after high school -  no degree,Strongly Liberal,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
3293,Omnivore,,,,,,,,,,,,Female,Minnesota,Associates degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3307,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3309,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Moderately Liberal,Hispanic -  Latino -  or Spanish origin,Christian (Catholic -  Protestant -  etc.)
3323,Omnivore,,,,,,,,,,,,Female,Washington,Some education after high school -  no degree,Strongly Liberal,Hispanic -  Latino -  or Spanish origin,Do not actively practice a religion
3326,Omnivore,,,,,,,,,,,,Female,South Carolina,Bachelors degree,Moderately Liberal,White,Buddhist
3367,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelors degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
3370,Vegan,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,20,Male,North Carolina,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
3416,Omnivore,,,,,,,,,,,,Female,California,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
3443,Omnivore,,,,,,,,,,,,Male,Georgia,Bachelors degree,Strongly Liberal,Hispanic -  Latino -  or Spanish origin,Christian (Catholic -  Protestant -  etc.)
3449,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Bachelors degree,Strongly Liberal,Native American or Alaska Native,Do not actively practice a religion
3462,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Neutral/Centrist,White,Other religion (including two or more)
3465,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Some education after high school -  no degree,Moderately Conservative,White,Do not actively practice a religion
3471,Omnivore,,,,,,,,,,,,Female,Wyoming,High school diploma (or equivalent),Strongly Conservative,African American or Black,Christian (Catholic -  Protestant -  etc.)
3483,Omnivore,,,,,,,,,,,,Male,Texas,Graduate or professional degree,Strongly Liberal,White,Jewish
3499,Omnivore,,,,,,,,,,,,Male,Nevada,Some education after high school -  no degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
3504,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,52,Female,Maryland,High school diploma (or equivalent),Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3524,Omnivore,,,,,,,,,,,,Female,Connecticut,Bachelors degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
3535,Omnivore,,,,,,,,,,,,Female,Massachusetts,Some education after high school -  no degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
3539,Omnivore,,,,,,,,,,,,Male,Massachusetts,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
3562,Omnivore,,,,,,,,,,,,Female,Tennessee,Graduate or professional degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
3563,Omnivore,,,,,,,,,,,,Female,Georgia,Associates degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3596,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
3623,Omnivore,,,,,,,,,,,,Female,California,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
3630,Omnivore,,,,,,,,,,,,Female,North Carolina,High school diploma (or equivalent),Neutral/Centrist,White,Jewish
3650,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
3659,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
3660,Omnivore,,,,,,,,,,,,Male,Nevada,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
3688,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
3693,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
3710,Omnivore,,,,,,,,,,,,Female,Missouri,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
3733,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3737,Omnivore,,,,,,,,,,,,Male,Washington,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3763,Omnivore,,,,,,,,,,,,Female,Kentucky,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
3778,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Moderately Liberal,African American or Black,Christian (Catholic -  Protestant -  etc.)
3810,Omnivore,,,,,,,,,,,,Male,West Virginia,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3812,Omnivore,,,,,,,,,,,,Male,South Dakota,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
3826,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,13,Female,Minnesota,High school diploma (or equivalent),Moderately Liberal,White,Do not actively practice a religion
3827,Omnivore,,,,,,,,,,,,Female,Michigan,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
3846,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
3850,Omnivore,,,,,,,,,,,,Male,Oklahoma,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3851,Omnivore,,,,,,,,,,,,Female,Iowa,Some education after high school -  no degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
3852,Omnivore,,,,,,,,,,,,Female,Iowa,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3855,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Strongly Conservative,Indian,Christian (Catholic -  Protestant -  etc.)
3868,Omnivore,,,,,,,,,,,,Female,Hawaii,Graduate or professional degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
3869,Omnivore,,,,,,,,,,,,Female,North Carolina,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3884,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
3893,Vegan,Very Strong,Somewhat,Not at All,Not at All,Strong,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,27,Female,North Carolina,Bachelors degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
3897,Omnivore,,,,,,,,,,,,Female,Tennessee,Bachelors degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
3898,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
3909,Vegan,Strong,Somewhat,Not at All,Mild,Not at All,Somewhat,Not at All,Not at All,Not at All,Strong,28,Male,Oklahoma,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
3915,Omnivore,,,,,,,,,,,,Male,Texas,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3925,Omnivore,,,,,,,,,,,,Female,Texas,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
3942,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
3954,Omnivore,,,,,,,,,,,,Female,Michigan,Some education after high school -  no degree,Moderately Liberal,White,Jewish
3960,Omnivore,,,,,,,,,,,,Female,New Mexico,Associates degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
3964,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelors degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
3984,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
3978,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
3981,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
3995,Omnivore,,,,,,,,,,,,Male,Wyoming,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
3999,Omnivore,,,,,,,,,,,,Female,California,Some education after high school -  no degree,Strongly Liberal,White,Do not actively practice a religion
4004,Omnivore,,,,,,,,,,,,Female,Michigan,Associates degree,Moderately Liberal,White,Do not actively practice a religion
4014,Omnivore,,,,,,,,,,,,Female,Tennessee,Graduate or professional degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
4018,Vegan,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,49,Female,North Carolina,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
4026,Omnivore,,,,,,,,,,,,Female,New Mexico,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4066,Omnivore,,,,,,,,,,,,Male,North Dakota,High school diploma (or equivalent),Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
4070,Omnivore,,,,,,,,,,,,Female,Colorado,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
4073,Omnivore,,,,,,,,,,,,Male,Wyoming,Bachelors degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
4074,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelors degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
4078,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelors degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
4086,Omnivore,,,,,,,,,,,,Male,North Carolina,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
4088,Omnivore,,,,,,,,,,,,Female,Connecticut,Associates degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
4090,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelors degree,Neutral/Centrist,African American or Black,Do not actively practice a religion
4093,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
4096,Omnivore,,,,,,,,,,,,Male,Louisiana,Some education after high school -  no degree,Strongly Liberal,White,Do not actively practice a religion
4107,Omnivore,,,,,,,,,,,,Male,Alabama,Bachelors degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
4113,Vegan,Very Strong,Very Strong,Very Strong,Very Strong,Not at All,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,25,Female,South Carolina,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
4117,Omnivore,,,,,,,,,,,,Female,Texas,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
4130,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4133,Omnivore,,,,,,,,,,,,Male,West Virginia,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
4140,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
4141,Omnivore,,,,,,,,,,,,Female,Washington,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
4160,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
4164,Omnivore,,,,,,,,,,,,Female,Hawaii,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
4191,Omnivore,,,,,,,,,,,,Male,Maryland,Less than 12th grade -  no diploma,Strongly Liberal,White,Do not actively practice a religion
4192,Omnivore,,,,,,,,,,,,Female,Utah,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
4209,Omnivore,,,,,,,,,,,,Male,Wyoming,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
4210,Vegetarian,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,27,Male,North Dakota,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
4214,Omnivore,,,,,,,,,,,,Male,Indiana,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
4247,Omnivore,,,,,,,,,,,,Female,Massachusetts,High school diploma (or equivalent),Moderately Conservative,White,Do not actively practice a religion
4257,Vegan,Very Strong,Somewhat,Not at All,Not at All,Strong,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,23,Female,Utah,Bachelors degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
4269,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,11,Female,Kentucky,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
4276,Omnivore,,,,,,,,,,,,Female,Georgia,Some education after high school -  no degree,Strongly Liberal,Hispanic -  Latino -  or Spanish origin,Do not actively practice a religion
4282,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,16,Female,North Carolina,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
4292,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,27,Female,New Mexico,Bachelors degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Buddhist
4301,Omnivore,,,,,,,,,,,,Female,Hawaii,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
4306,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
4308,Omnivore,,,,,,,,,,,,Male,Michigan,Some education after high school -  no degree,Neutral/Centrist,African American or Black,Other religion (including two or more)
4319,Omnivore,,,,,,,,,,,,Female,Wisconsin,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
4321,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
4322,Omnivore,,,,,,,,,,,,Female,Georgia,Less than 12th grade -  no diploma,Strongly Liberal,White,Do not actively practice a religion
4341,Omnivore,,,,,,,,,,,,Female,Indiana,Associates degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
4348,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
4355,Omnivore,,,,,,,,,,,,Female,Kansas,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
4357,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,47,Male,North Carolina,Graduate or professional degree,Moderately Conservative,White,Jewish
4371,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Associates degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4379,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
4387,Omnivore,,,,,,,,,,,,Female,Montana,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
4389,Vegan,Strong,Somewhat,Not at All,Mild,Mild,Somewhat,Not at All,Not at All,Not at All,Strong,30,Male,Maine,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
4402,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
4409,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4416,Omnivore,,,,,,,,,,,,Female,Connecticut,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
4425,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,22,Female,Arizona,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
4435,Omnivore,,,,,,,,,,,,Female,Texas,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4450,Omnivore,,,,,,,,,,,,Female,Montana,Some education after high school -  no degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
4454,Omnivore,,,,,,,,,,,,Male,California,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
4457,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
4467,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Moderately Conservative,Hispanic -  Latino -  or Spanish origin,Do not actively practice a religion
4472,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelors degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
4484,Omnivore,,,,,,,,,,,,Male,Arizona,Graduate or professional degree,Strongly Liberal,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
4494,Omnivore,,,,,,,,,,,,Male,Colorado,Some education after high school -  no degree,Strongly Liberal,White,Do not actively practice a religion
4512,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
4520,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,21,Female,California,Less than 12th grade -  no diploma,Neutral/Centrist,Hispanic -  Latino -  or Spanish origin,Do not actively practice a religion
4524,Omnivore,,,,,,,,,,,,Female,Illinois,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
4565,Vegan,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,38,Female,Arizona,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4569,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Neutral/Centrist,Indian,Hindu
4574,Omnivore,,,,,,,,,,,,Male,Texas,Bachelors degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
4575,Omnivore,,,,,,,,,,,,Male,Massachusetts,Graduate or professional degree,Neutral/Centrist,African American or Black,Do not actively practice a religion
4576,Omnivore,,,,,,,,,,,,Female,Arizona,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4582,Omnivore,,,,,,,,,,,,Female,Illinois,Associates degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
4584,Vegan,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,33,Female,New Hampshire,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4599,Omnivore,,,,,,,,,,,,Female,Indiana,Associates degree,Neutral/Centrist,White,Hindu
4613,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,30,Male,Wyoming,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
4615,Omnivore,,,,,,,,,,,,Female,California,Some education after high school -  no degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
4626,Omnivore,,,,,,,,,,,,Female,California,Some education after high school -  no degree,Strongly Liberal,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
4630,Vegetarian,Very Strong,Strong,Somewhat,Somewhat,Mild,Not at All,Somewhat,Somewhat,Not at All,Strong,50,Female,Minnesota,Graduate or professional degree,Neutral/Centrist,Indian,Hindu
4637,Omnivore,,,,,,,,,,,,Female,California,Some education after high school -  no degree,Strongly Liberal,Other race/ethnicity (including two or more),Buddhist
4638,Omnivore,,,,,,,,,,,,Female,Minnesota,Some education after high school -  no degree,Moderately Liberal,White,Do not actively practice a religion
4642,Omnivore,,,,,,,,,,,,Male,Georgia,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
4652,Omnivore,,,,,,,,,,,,Female,Indiana,Some education after high school -  no degree,Strongly Liberal,African American or Black,Christian (Catholic -  Protestant -  etc.)
4663,Omnivore,,,,,,,,,,,,Male,Hawaii,Some education after high school -  no degree,Moderately Liberal,African American or Black,Christian (Catholic -  Protestant -  etc.)
4676,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Strongly Conservative,Christian (Catholic -  Protestant -  etc.),Christian (Catholic -  Protestant -  etc.)
4683,Omnivore,,,,,,,,,,,,Other,California,High school diploma (or equivalent),Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
